aback,positive:0,negative:0
abacus,positive:0,negative:0
abandon,positive:0,negative:1
abandoned,positive:0,negative:1
abandonment,positive:0,negative:1
abate,positive:0,negative:0
abatement,positive:0,negative:0
abba,positive:1,negative:0
abbot,positive:0,negative:0
abbreviate,positive:0,negative:0
abbreviation,positive:0,negative:0
abdomen,positive:0,negative:0
abdominal,positive:0,negative:0
abduction,positive:0,negative:1
aberrant,positive:0,negative:1
aberration,positive:0,negative:1
abeyance,positive:0,negative:0
ablation,positive:0,negative:0
ablaze,positive:0,negative:0
abnormal,positive:0,negative:1
aboard,positive:0,negative:0
abode,positive:0,negative:0
abolish,positive:0,negative:1
abolition,positive:0,negative:1
abominable,positive:0,negative:1
abomination,positive:0,negative:1
aboriginal,positive:0,negative:0
abort,positive:0,negative:1
abortion,positive:0,negative:1
abortive,positive:0,negative:1
abound,positive:0,negative:0
abovementioned,positive:1,negative:0
abrasion,positive:0,negative:1
abroad,positive:0,negative:0
abrogate,positive:0,negative:1
abrupt,positive:0,negative:0
abruptly,positive:0,negative:0
abscess,positive:0,negative:1
absence,positive:0,negative:1
absent,positive:0,negative:1
absentee,positive:0,negative:1
absenteeism,positive:0,negative:1
absinthe,positive:0,negative:0
absolute,positive:1,negative:0
absolution,positive:1,negative:0
absorbed,positive:1,negative:0
absorbent,positive:0,negative:0
absorbing,positive:0,negative:0
absorption,positive:0,negative:0
abstain,positive:0,negative:0
abstention,positive:0,negative:0
abstinence,positive:0,negative:0
abstract,positive:0,negative:0
abstraction,positive:0,negative:0
absurd,positive:0,negative:1
absurdity,positive:0,negative:1
abundance,positive:1,negative:1
abundant,positive:1,negative:0
abuse,positive:0,negative:1
abutment,positive:0,negative:0
aby,positive:0,negative:0
abysmal,positive:0,negative:1
abyss,positive:0,negative:1
academic,positive:1,negative:0
academy,positive:1,negative:0
accede,positive:0,negative:0
accelerate,positive:0,negative:0
acceleration,positive:0,negative:0
accent,positive:0,negative:0
accentuate,positive:0,negative:0
accept,positive:0,negative:0
acceptable,positive:1,negative:0
